"SiteID","dist.m","n","Total.seeds","seeds.m2","deliv.freq","Total.seeds.pico","seeds.m2.pico","deliv.freq.pico","Total.seeds.psme","seeds.m2.psme","deliv.freq.psme","Total.seeds.pien","seeds.m2.pien","deliv.freq.pien","Total.seeds.abla","seeds.m2.abla","deliv.freq.abla","Mean.stemarea.m2","Mean.Height.m","total.density.ha","Mean.stemarea.m2ha","mean.cones.ha","mean.nonser.cones.ha","Positioning","X20m.tree.dist","X50m.tree.dist","X100m.tree.dist","n.pico","Mean.stemarea.m2.pico","Mean.Height.m.pico","Mean.cones.pico","density.ha.pico","Mean.stemarea.m2ha.pico","mean.cones.ha.pico","mean.nonser.cones.ha.pico","area","min.slope.30","mean.slope.30","max.slope.30","min.TRI.30","mean.TRI.30","max.TRI.30","min.TPI.30","mean.TPI.30","max.TPI.30","min.roughness.30","mean.roughness.30","max.roughness.30"
"T3",5,2,1,3.30687830687831,1,1,3.30687830687831,1,0,0,0,0,0,0,0,0,0,0.029579641455,18.78,900,26.6216773095,32785.2,24916.752,"Upslope",NA,NA,NA,25,0.029579641455,18.78,36.428,900,26.6216773095,32785.2,24916.752,1.03169142597835,11.4484859433223,13.1155662364438,14.291811413505,5.57283715142148,5.86543090820318,6.17788957383902,0.518136223687634,2.19285011574099,3.20220916748076,17.6450911458332,19.8451714409721,22.1587255859372
"T3",50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029579641455,18.78,900,26.6216773095,32785.2,24916.752,"Upslope",NA,NA,NA,25,0.029579641455,18.78,36.428,900,26.6216773095,32785.2,24916.752,136.128126972858,11.4484859433223,13.1155662364438,14.291811413505,5.57283715142148,5.86543090820318,6.17788957383902,0.518136223687634,2.19285011574099,3.20220916748076,17.6450911458332,19.8451714409721,22.1587255859372
"T3",75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029579641455,18.78,900,26.6216773095,32785.2,24916.752,"Upslope",NA,NA,NA,25,0.029579641455,18.78,36.428,900,26.6216773095,32785.2,24916.752,188.542314009226,11.4484859433223,13.1155662364438,14.291811413505,5.57283715142148,5.86543090820318,6.17788957383902,0.518136223687634,2.19285011574099,3.20220916748076,17.6450911458332,19.8451714409721,22.1587255859372
"T4",100,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047177570495,15.604,400,18.871028198,34601.6,27681.28,"Upslope","115",244,230,24,0.0489875038333333,16.0625,89.9541666666667,400,19.5950015333333,35981.6666666667,28485.4861111111,-1.84350832544169,13.6503438367909,16.5825808361745,19.3481015952497,6.57729936387813,7.16812207257309,7.9350995890299,0.532024773491685,1.5917668434425,2.59326283772771,20.5044137912328,24.1766602466725,28.0729302300347
"T4",20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047177570495,15.604,400,18.871028198,34601.6,27681.28,"Upslope","115",244,230,24,0.0489875038333333,16.0625,89.9541666666667,400,19.5950015333333,35981.6666666667,28485.4861111111,51.7275291982332,13.6503438367909,16.5825808361745,19.3481015952497,6.57729936387813,7.16812207257309,7.9350995890299,0.532024773491685,1.5917668434425,2.59326283772771,20.5044137912328,24.1766602466725,28.0729302300347
"T4",35,2,1,3.30687830687831,1,1,3.30687830687831,1,0,0,0,0,0,0,0,0,0,0.047177570495,15.604,400,18.871028198,34601.6,27681.28,"Upslope","115",244,230,24,0.0489875038333333,16.0625,89.9541666666667,400,19.5950015333333,35981.6666666667,28485.4861111111,89.4195864899018,13.6503438367909,16.5825808361745,19.3481015952497,6.57729936387813,7.16812207257309,7.9350995890299,0.532024773491685,1.5917668434425,2.59326283772771,20.5044137912328,24.1766602466725,28.0729302300347
"T4",5,2,3,9.92063492063492,1,3,9.92063492063492,1,0,0,0,0,0,0,0,0,0,0.047177570495,15.604,400,18.871028198,34601.6,27681.28,"Upslope","115",244,230,24,0.0489875038333333,16.0625,89.9541666666667,400,19.5950015333333,35981.6666666667,28485.4861111111,5.58892760613958,13.6503438367909,16.5825808361745,19.3481015952497,6.57729936387813,7.16812207257309,7.9350995890299,0.532024773491685,1.5917668434425,2.59326283772771,20.5044137912328,24.1766602466725,28.0729302300347
"T4",50,4,1,1.65343915343915,1,1,1.65343915343915,1,0,0,0,0,0,0,0,0,0,0.047177570495,15.604,400,18.871028198,34601.6,27681.28,"Upslope","115",244,230,24,0.0489875038333333,16.0625,89.9541666666667,400,19.5950015333333,35981.6666666667,28485.4861111111,112.914977410821,13.6503438367909,16.5825808361745,19.3481015952497,6.57729936387813,7.16812207257309,7.9350995890299,0.532024773491685,1.5917668434425,2.59326283772771,20.5044137912328,24.1766602466725,28.0729302300347
"T4",75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047177570495,15.604,400,18.871028198,34601.6,27681.28,"Upslope","115",244,230,24,0.0489875038333333,16.0625,89.9541666666667,400,19.5950015333333,35981.6666666667,28485.4861111111,102.928022904825,13.6503438367909,16.5825808361745,19.3481015952497,6.57729936387813,7.16812207257309,7.9350995890299,0.532024773491685,1.5917668434425,2.59326283772771,20.5044137912328,24.1766602466725,28.0729302300347
"T5",100,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03959697392,17.532,1100,43.556671312,108816.4,108816.4,"Upslope","108.4",106.2,112.2,23,0.040275088548913,18,94.3217391304348,1100,44.3025974038043,103753.913043478,103753.913043478,-1.1869180082158,14.0515860667786,20.0184152264098,24.9726219753586,7.93633009168849,9.27091354935266,11.0646548800999,-1.89798719618057,0.802930964717234,4.52359544542105,23.214027777778,27.4016616030094,30.4025545247396
